,Laptop Name,Processor,Ram,Orignal Price,Discounted Price,Total Reviews,Total Ratings,Avarage Rating,Image link
22,acer Extensa Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,41999.0,33990.0,13.0,116.0,4.3,https://rukminim1.flixcart.com/image/312/312/l5e81ow0/computer/j/w/o/ex-215-54-thin-and-light-laptop-acer-original-imagg28wzdeny2jq.jpeg?q=70
23,ASUS VivoBook 14 (2022) Ryzen 3 Dual Core AMD R3,AMD Ryzen 3 Dual Core Processor,8,46990.0,28990.0,236.0,1948.0,4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70
24,RedmiBook Pro Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8,59999.0,39990.0,332.0,2540.0,4.2,https://rukminim1.flixcart.com/image/312/312/kuwzssw0/computer/x/l/a/redmibook-15-pro-thin-and-light-laptop-redmi-original-imag7xhnakyazyma.jpeg?q=70
25,ASUS Vivobook 15 Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8,69990.0,45990.0,2.0,6.0,4.8,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70
26,ASUS TUF Gaming F15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,70990.0,47990.0,100.0,1209.0,4.4,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
27,ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7,AMD Ryzen 7 Quad Core Processor,16,70990.0,47990.0,29.0,270.0,4.2,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
28,RedmiBook 15 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,51990.0,30990.0,214.0,1841.0,4.2,https://rukminim1.flixcart.com/image/312/312/krxtrww0/computer/e/l/c/redmibook-15-e-learning-edition-thin-and-light-laptop-redmi-original-imag5m8jkjbaybeu.jpeg?q=70
29,ASUS Vivobook 15 Touch Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,60990.0,42990.0,14.0,85.0,4.4,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/3/c/s/-original-imagf35fjbjagyax.jpeg?q=70
30,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,58990.0,38990.0,6.0,72.0,4.4,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/j/u/asus-original-imaftndwqbqznkju.jpeg?q=70
31,ASUS VivoBook 15 (2022) Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,57990.0,43990.0,211.0,2408.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
32,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,AMD Ryzen 5 Hexa Core Processor,8,68490.0,44990.0,89.0,711.0,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/2/3/5/-original-imagg5hhjunrv4e4.jpeg?q=70
33,ASUS (2022) Celeron Dual Core,Intel Celeron Dual Core Processor,4,30990.0,22990.0,2.0,25.0,4.2,https://rukminim1.flixcart.com/image/312/312/l23mhzk0/computer/e/6/4/br1100cka-gj0722w-laptop-asus-original-imagdgsbfwfbzdmw.jpeg?q=70
34,ASUS Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,43990.0,31990.0,1.0,19.0,3.9,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/h/9/-original-imagg6t9zmscgfed.jpeg?q=70
35,Lenovo Celeron Dual Core,Intel Celeron Dual Core Processor,8,44690.0,27490.0,0.0,0.0,0.0,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/v/e/s/15igl05-thin-and-light-laptop-lenovo-original-imaghvfkfwpmnpcf.jpeg?q=70
36,ASUS VivoBook Ultra K15 OLED Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,62990.0,44990.0,35.0,204.0,4.4,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
37,ASUS VivoBook 15 (2022) Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,50990.0,36999.0,370.0,3600.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
38,Lenovo IdeaPad 3 Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,50290.0,30990.0,54.0,463.0,4.3,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
39,ASUS VivoBook 15 (2022) Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,54990.0,36990.0,67.0,485.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
40,ASUS VivoBook 15 (2022) Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,45990.0,33990.0,370.0,3600.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
41,ASUS Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,50990.0,33990.0,118.0,863.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
42,HP Ryzen 5 Hexa Core 5500U,AMD Ryzen 5 Hexa Core Processor,8,56354.0,47999.0,51.0,442.0,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
43,Lenovo Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,61490.0,33990.0,56.0,548.0,4.3,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
44,DELL Inspiron Ryzen 3 Dual Core 3250U,AMD Ryzen 3 Dual Core Processor,8,54435.0,41390.0,2.0,28.0,4.4,https://rukminim1.flixcart.com/image/312/312/l1mh7rk0/computer/z/t/0/inspiron-3515-notebook-dell-original-imagd5jzfjyuze5g.jpeg?q=70
45,ASUS Vivobook 15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,62990.0,44990.0,0.0,17.0,4.2,https://rukminim1.flixcart.com/image/312/312/ksyz8280/computer/f/9/9/x515ea-ej302ts-thin-and-light-laptop-asus-original-imag6fc9kxzc6rrh.jpeg?q=70
46,ASUS VivoBook Flip 14 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,63990.0,45990.0,3.0,44.0,4.6,https://rukminim1.flixcart.com/image/312/312/kkyc9zk0/computer/j/z/b/na-2-in-1-laptop-asus-original-imagy6zh6zq2npfx.jpeg?q=70
47,ASUS VivoBook 14 (2021) Celeron Dual Core,Intel Celeron Dual Core Processor,4,33990.0,26990.0,34.0,264.0,4.1,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
48,ASUS Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,59990.0,41990.0,1.0,20.0,4.8,https://rukminim1.flixcart.com/image/312/312/l2f20sw0/computer/e/p/i/vivobook-15-thin-and-light-laptop-asus-original-imagdrjpvgngkhfd.jpeg?q=70
49,Infinix X1 Slim Series Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,49999.0,29990.0,270.0,1840.0,4.2,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/b/d/y/-original-imagf39qmdjgesc9.jpeg?q=70
50,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,58990.0,42990.0,211.0,1170.0,4.4,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
51,ASUS TUF Gaming F15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,70990.0,47990.0,100.0,1209.0,4.4,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
52,DELL Inspiron Pentium Silver,Intel PQC-N5030 (1.10 GHz up to 3.10 GHz),8,44319.0,32890.0,15.0,177.0,4.2,https://rukminim1.flixcart.com/image/312/312/l1dwknk0/computer/3/w/s/inspiron-3521-notebook-dell-original-imagcyrhxaybghra.jpeg?q=70
53,ASUS Vivobook 15 Ryzen 3 Dual Core AMD Ryzen™ 3 3250U,AMD Ryzen 3 Dual Core Processor,8,49990.0,34699.0,17.0,56.0,4.4,https://rukminim1.flixcart.com/image/312/312/l3khsi80/computer/k/8/y/vivobook-15-m515da-laptop-asus-original-imagenrbgakkmbyb.jpeg?q=70
54,HP Pavilion x360 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,58174.0,47990.0,7.0,65.0,4.4,https://rukminim1.flixcart.com/image/312/312/ktketu80/computer/r/f/r/14-dy0050tu-thin-and-light-laptop-hp-original-imag6w29bs32mq2j.jpeg?q=70
55,ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7,AMD Ryzen 7 Quad Core Processor,16,70990.0,47990.0,29.0,270.0,4.2,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
56,Lenovo IdeaPad 3 Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,56590.0,33490.0,403.0,3788.0,4.3,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70
57,ASUS Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,57990.0,42990.0,0.0,0.0,0.0,https://rukminim1.flixcart.com/image/312/312/ks4yz680/computer/q/5/z/x409fa-ek617t-thin-and-light-laptop-asus-original-imag5rwhrgjtgkyq.jpeg?q=70
58,acer Aspire 3 Dual Core 3020e,AMD Dual Core Processor,4,34999.0,24990.0,40.0,358.0,4.0,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/h/u/b/-original-imagg2vnsrgrfkmz.jpeg?q=70
59,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,58990.0,38990.0,6.0,72.0,4.4,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/j/u/asus-original-imaftndwqbqznkju.jpeg?q=70
60,MSI Modern 14 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,61990.0,42990.0,123.0,1045.0,4.4,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/computer/a/f/n/modern-14-b4mw-410in-notebook-msi-original-imag2km2byc24psz.jpeg?q=70
61,ASUS VivoBook 15 (2021) Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,64990.0,45990.0,20.0,231.0,4.1,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
62,Lenovo Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,57990.0,36990.0,0.0,4.0,4.0,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/m/w/-original-imagg5jscr4hcuqc.jpeg?q=70
63,ASUS VivoBook 15 (2022) Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,57990.0,43990.0,211.0,2408.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
64,HP Ryzen 3 Dual Core 3250U,AMD Ryzen 3 Dual Core Processor,8,46052.0,35999.0,362.0,3409.0,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/7/d/j/15s-eq1560au-thin-and-light-laptop-hp-original-imaggsgk3gpr6jpp.jpeg?q=70
65,ASUS Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,50990.0,33990.0,118.0,863.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
66,ASUS VivoBook 14 (2022) Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8,72990.0,46990.0,42.0,384.0,4.1,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
67,ASUS VivoBook Ultra K15 OLED Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,62990.0,44990.0,35.0,204.0,4.4,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
68,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,58990.0,38990.0,6.0,72.0,4.4,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/s/m/asus-original-imaftndw8zg398np.jpeg?q=70
69,DELL Core i3 11th Gen,Intel i3-1115G4 (Base- 1.70 GHz & Turbo up to 4.10 GHz) 2 Cores,8,52938.0,38390.0,0.0,0.0,0.0,https://rukminim1.flixcart.com/image/312/312/l4x2rgw0/computer/m/n/n/vostro-3420-notebook-dell-original-imagfpq37h38xebf.jpeg?q=70
70,ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3,AMD Ryzen 3 Dual Core Processor,8,49990.0,34990.0,17.0,101.0,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/k/2/-original-imagg6t9zus8vhew.jpeg?q=70
71,ASUS VivoBook 15 (2022) Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,50990.0,36999.0,370.0,3600.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
72,HP Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,52000.0,43290.0,0.0,14.0,4.4,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/u/m/15s-du3614tu-thin-and-light-laptop-hp-original-imagghe6jcf76wgc.jpeg?q=70
73,DELL Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,55442.0,43090.0,91.0,763.0,4.2,https://rukminim1.flixcart.com/image/312/312/kzvlua80/computer/v/k/o/vostro-3510-thin-and-light-laptop-dell-original-imagbscgmx366uhv.jpeg?q=70
74,HP Ryzen 3 Quad Core 5300U,AMD Ryzen 3 Quad Core Processor,8,48294.0,37990.0,154.0,1096.0,4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70
75,realme Book (Slim) Core i3 11th Gen,Stylish & Portable Thin and Light Laptop,None,54999.0,46990.0,1461.0,9731.0,4.4,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/h/8/9/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgcstmjbxg.jpeg?q=70
76,ASUS Vivobook 15 Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,43990.0,27990.0,30.0,349.0,4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/o/t/h/-original-imagg6t9pauha4t7.jpeg?q=70
77,ASUS TUF Gaming F15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,70990.0,47990.0,105.0,1209.0,4.4,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
78,DELL Vostro Core i3 10th Gen,Intel Core i3 Processor (10th Gen),4,57858.0,42490.0,2.0,33.0,4.2,https://rukminim1.flixcart.com/image/312/312/krf91u80/computer/2/m/b/na-thin-and-light-laptop-dell-original-imag585xzyrystrc.jpeg?q=70
79,Lenovo IdeaPad 3 Celeron Dual Core 4th Gen,Intel Celeron Dual Core Processor (4th Gen),4,40490.0,25490.0,63.0,739.0,4.1,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
80,ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,AMD Ryzen 5 Quad Core Processor,8,57990.0,36990.0,14.0,161.0,4.2,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
81,ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7,AMD Ryzen 7 Quad Core Processor,16,70990.0,47990.0,29.0,270.0,4.2,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
82,ASUS VivoBook 14 Pentium Silver,Intel Pentium Silver Processor,4,38990.0,28990.0,32.0,204.0,4.2,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
83,ASUS Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,49000.0,34175.0,0.0,0.0,0.0,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/2/g/vivobook-15-laptop-asus-original-imagggysxrzgu9dq.jpeg?q=70
84,ASUS Vivobook 14 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,57990.0,38990.0,16.0,151.0,4.1,https://rukminim1.flixcart.com/image/312/312/kwl0akw0/computer/b/c/g/x415ea-eb372ws-thin-and-light-laptop-asus-original-imag98ctqynmmfzw.jpeg?q=70
85,ASUS Vivobook 15 Touch Core i5 11th Gen,Intel Core i5 Processor (11th Gen),8,74990.0,49990.0,4.0,23.0,4.1,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/3/c/s/-original-imagf35fjbjagyax.jpeg?q=70
86,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,58990.0,38990.0,6.0,72.0,4.4,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/j/u/asus-original-imaftndwqbqznkju.jpeg?q=70
87,ASUS VivoBook 15 (2022) Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,57990.0,43990.0,211.0,2408.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
88,ASUS Chromebook Flip Celeron Dual Core,Intel Celeron Dual Core Processor,4,31990.0,16990.0,218.0,1274.0,4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/z/n/-original-imagg3fxfrttfgvj.jpeg?q=70
89,HP Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,45743.0,37190.0,0.0,0.0,0.0,https://rukminim1.flixcart.com/image/312/312/kwtkxow0/computer/j/d/r/hp-business-laptop-laptop-hp-original-imag9ff5gayydubg.jpeg?q=70
90,ASUS VivoBook Ultra K15 OLED Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,62990.0,44990.0,35.0,204.0,4.4,https://rukminim1.flixcart.com/image/312/312/l2dmky80/computer/l/c/g/-original-imagdqdyewdfx452.jpeg?q=70
91,ASUS VivoBook 15 (2022) Core i3 10th Gen,Intel Core i3 Processor (10th Gen),8,50990.0,36999.0,370.0,3600.0,4.3,https://rukminim1.flixcart.com/image/312/312/kp2y2kw0/computer/y/0/c/na-thin-and-light-laptop-asus-original-imag3ebnzawky4kn.jpeg?q=70
92,HP Ryzen 3 Dual Core 3250U,AMD Ryzen 3 Dual Core Processor,8,43628.0,30975.0,0.0,0.0,0.0,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/8/j/g/15s-eq1561au-thin-and-light-laptop-hp-original-imaggsgrjfzpawqa.jpeg?q=70
93,acer Aspire Ryzen 5 Quad Core 3500U,AMD Ryzen 5 Quad Core Processor,8,54990.0,37990.0,13.0,105.0,4.2,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/r/n/g/aspire-3-notebook-acer-original-imagg5aabsmp5rmq.jpeg?q=70
94,realme Book (Slim) Core i3 11th Gen,Stylish & Portable Thin and Light Laptop,None,54999.0,46990.0,1461.0,9731.0,4.4,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/v/b/y/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgw27k4tbb.jpeg?q=70
95,ASUS VivoBook Flip 14 Core i3 11th Gen,Intel Core i3 Processor (11th Gen),8,66990.0,45990.0,3.0,44.0,4.6,https://rukminim1.flixcart.com/image/312/312/l3t2fm80/computer/p/q/q/-original-imageuecysr3cuca.jpeg?q=70
96,ASUS TUF Gaming F15 Core i5 10th Gen,Intel Core i5 Processor (10th Gen),8,70990.0,47990.0,100.0,1209.0,4.4,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
97,ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,AMD Ryzen 5 Quad Core Processor,8,57990.0,36990.0,14.0,161.0,4.2,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
